date_added,company_name,company_website,hq_country,hq_city,industry,sector,date_removed
2026-04-13,21gramos,https://21gramos.net,Spain,Madrid,Advertising & market research,Service with Minor Environmental Footprint,
2026-04-13,21Solutions srl,https://www.21solutions.eu/,Belgium,Brussels-Capital Region,Environmental consulting,Service with Minor Environmental Footprint,
2026-04-13,23 Degrees Coffee Roasters,https://www.23degrees.com.au,Australia,Victoria,Beverages,Manufacturing,
2026-04-13,23bis,https://www.23bis.ch,Switzerland,Canton of Vaud,"Film, TV & music production",Service with Minor Environmental Footprint,
2026-04-13,24 Bottles Società Benefit Srl,https://www.24bottles.com,,,Fabricated metal products,Wholesale/Retail,
2026-04-13,2468 Group,https://www.2468group.com/,Ireland,County Meath,Beverages,Wholesale/Retail,
2026-04-13,24Slides,https://24slides.com,Indonesia,East Java,Other business support,Service with Minor Environmental Footprint,
2026-04-13,25eight,https://www.25eight.co,Australia,Victoria,"Other professional, scientific & tech",Service with Minor Environmental Footprint,
2026-04-13,2811,https://www.2811global.com,Colombia,Cundinamarca Department,Management consultant - for-profits,Service with Minor Environmental Footprint,
2026-04-13,28th Street Agency Pty Ltd,https://28thstreetagency.com.au/,Australia,South Australia,Management consultant - for-profits,Service with Minor Environmental Footprint,
2026-04-13,"29Bison, LLC",https://29Bison.com,United States,Pennsylvania,Management consultant - for-profits,Service with Minor Environmental Footprint,
2026-04-13,2BHonest,https://2bhonest.nl,Netherlands The,North Holland,Environmental consulting,Service with Minor Environmental Footprint,2026-05-18
2026-04-13,2CGroup,https://2c.group,France,Île-de-France,Accounting & auditing,Service with Minor Environmental Footprint,
2026-04-13,2GoCup,https://www.2gocup.net,Ireland,County Wicklow,Wholesale fee/contract basis,Wholesale/Retail,
2026-04-13,2nd Innings Handicrafts Pvt Ltd,https://iwasasari.com,India,Maharashtra,Apparel,Manufacturing,
2026-04-13,2pmlab,https://www.2pmlab.co,South Korea,Gyeonggi Province,Computer programming services,Service with Minor Environmental Footprint,
2026-04-13,3 Apitos,https://www.3apitos.com.br,Brazil,São Paulo,Arts & entertainment,Service with Minor Environmental Footprint,
2026-04-13,3 Phases Renewables,https://3phasesrenewables.com,United States,California,Solar panel installation,Service with Significant Environmental Footprint,
2026-04-13,3-P Consulting Inc.,https://www.3-pconsulting.com,United States,Hawaii,Environmental consulting,Service with Minor Environmental Footprint,
2026-04-13,30Acres,https://30acres.com.au,Australia,New South Wales,Advertising & market research,Service with Minor Environmental Footprint,
2026-04-13,31ten Consulting,https://www.31tenconsulting.co.uk/,United Kingdom,London Borough of Southwark,Management consultant - for-profits,Service with Minor Environmental Footprint,
2026-04-13,360Impact,https://www.360impact.io,United States,North Carolina,Management consultant - for-profits,Service with Minor Environmental Footprint,
2026-04-13,360PR+,https://www.360pr.plus/,United States,New York,Management consultant - for-profits,Service with Minor Environmental Footprint,
2026-04-13,360tuned (trading as LACIX and Smart River Consulting),https://360tuned.com,New Zealand,Auckland Region,Web portals,Service with Minor Environmental Footprint,
2026-04-13,361 Degrees Strategic Engagement & Communications,https://www.361degrees.com.au,Australia,Western Australia,Management consultant - for-profits,Service with Minor Environmental Footprint,
2026-04-13,3ADAPT,https://www.3adapt.com/,United Kingdom,Bath and North East Somerset,Environmental consulting,Service with Minor Environmental Footprint,
2026-04-13,3Bears Foods GmbH,https://www.3bears.de,Germany,Bavaria,Food products,Wholesale/Retail,
2026-04-13,3BLC,https://www.3blc.com,United States,Washington,Contracting & building,Service with Significant Environmental Footprint,
2026-04-13,"3DC - Intelligent Nature, Lda",https://www.3dcork.com,Portugal,Aveiro,Other manufacturing,Manufacturing,
2026-04-13,3Degrees Group Inc.,https://www.3degreesinc.com,United States,California,Environmental consulting,Service with Minor Environmental Footprint,
2026-04-13,3G Professioneel BV,https://www.3gprofessioneel.nl/,Netherlands The,North Holland,Cleaning products,Wholesale/Retail,
2026-04-13,3INA Makeup,https://www.3ina.com,Spain,Madrid,Other retail sale,Wholesale/Retail,
2026-04-13,3Keel Group Ltd,https://3Keel.com,United Kingdom,Oxfordshire,Management consultant - for-profits,Service with Minor Environmental Footprint,
2026-04-13,3R Sustainability,https://www.3RSustainability.com,United States,Pennsylvania,Environmental consulting,Service with Minor Environmental Footprint,
2026-04-13,"3Sisters Sustainable Management, Inc",https://www.3sistersinvest.com,United States,North Carolina,Investment advising,Service with Minor Environmental Footprint,
2026-04-13,3ti Energy Hubs,https://www.3ti.co.uk,United Kingdom,Surrey,Machinery & equipment,Wholesale/Retail,
2026-04-13,3VECTORES SAS BIC,https://www.3vectores.com,Uruguay,Montevideo Department,"Other professional, scientific & tech",Service with Minor Environmental Footprint,
2026-04-13,3Way Cleaning Ltd,https://www.3way.co.uk,United Kingdom,Essex,Facilities & cleaning services,Service with Significant Environmental Footprint,
2026-04-13,"3XP GLOBAL - SCR, S.A.",https://www.3xpglobal.eu,Portugal,Lisbon,Equity investing - Developed Markets,Service with Minor Environmental Footprint,
2026-04-13,4 Pines Brewing Company,https://www.4pinesbeer.com.au,Australia,New South Wales,Beverages,Manufacturing,
2026-04-13,400 Communications Limited,https://www.400.co.uk,United Kingdom,City of London,Advertising & market research,Service with Minor Environmental Footprint,
2026-04-13,40c Consultores,https://www.40c.cl/,Chile,Santiago Metropolitan Region,Management consultant - for-profits,Service with Minor Environmental Footprint,
2026-04-13,40ft Brewery,https://40ftbrewery.com,United Kingdom,London Borough of Hackney,Beverages,Manufacturing,
2026-04-13,4c s.r.l.,https://www.4clegal.com/,Italy,Metropolitan City of Milan,Other info service activities,Service with Minor Environmental Footprint,
2026-04-13,4Couture,https://www.4couture.com,United Kingdom,Hampshire,Apparel,Wholesale/Retail,
2026-04-13,4D lab,https://www.4dlab.uy/,Uruguay,Montevideo Department,Education & training services,Service with Minor Environmental Footprint,
2026-04-13,4G Capital,https://www.4g-capital.com,Kenya,Nairobi,Microfinance - Emerging Markets,Service with Minor Environmental Footprint,
2026-04-13,4most (Europe) Limited,https://www.4-most.co.uk,,,Other financial services,Service with Minor Environmental Footprint,
2026-04-13,4ocean PBC,https://4ocean.com,United States,Florida,Jewelry & related articles,Wholesale/Retail,
2026-04-20,5 ELK,https://www.5elk.com.au,Philippines,Cebu,Other financial services,Service with Minor Environmental Footprint,
2026-04-13,5&Vine,https://5andvine.com,Canada,Ontario,Advertising & market research,Service with Minor Environmental Footprint,
2026-04-13,50 Degrees North,https://www.fiftydegreesnorth.com,Norway,Oppland,Travel agency & related,Service with Minor Environmental Footprint,
2026-04-13,50 Partners Gestion,https://www.50partners.fr,France,Île-de-France,Equity investing - Developed Markets,Service with Minor Environmental Footprint,
2026-04-13,500 LOGISTICS LTD,https://www.500logistics.com,United Kingdom,West Berkshire,Other transport equipment,Service with Minor Environmental Footprint,
2026-04-13,50th Parallel Public Relations Inc.,https://www.50thparallelpr.com/,Canada,British Columbia,Advertising & market research,Service with Minor Environmental Footprint,
2026-05-11,56THREE ARCHITECTS LTD,https://www.56three.com,United Kingdom,Edinburgh,Architecture design & planning,Service with Minor Environmental Footprint,
2026-04-13,58 and CO Limited,https://www.58andco.com,United Kingdom,City of London,Beverages,Manufacturing,
2026-04-13,5874 Design Ltd,https://5874commerce.com/,United Kingdom,Birmingham,Web portals,Service with Minor Environmental Footprint,
2026-04-13,5T Sports Group,https://www.5tsports.com,United States,Illinois,Management consultant - for-profits,Service with Minor Environmental Footprint,
2026-04-13,5th floor Software,https://5thfloor.be/,Belgium,Brussels-Capital Region,Computer programming services,Service with Minor Environmental Footprint,
2026-04-13,5th Studio,https://www.5thstudio.co.uk,United Kingdom,London Borough of Camden,Architecture design & planning,Service with Minor Environmental Footprint,
2026-04-13,628 Digital Design,https://www.628digitaldesign.co/,United States,Connecticut,Advertising & market research,Service with Minor Environmental Footprint,
2026-04-13,66°North,https://66north.com,Iceland,Capital Region,Apparel,Manufacturing,
2026-04-13,686 Technical Apparel,https://www.686.com/,United States,California,Apparel,Wholesale/Retail,
2026-04-13,7NXT,https://www.7nxt.com,Germany,Berlin,Mobile applications,Service with Minor Environmental Footprint,
2026-04-13,818 Spirits Inc,https://drink818.com,United States,Florida,Beverages,Wholesale/Retail,
2026-04-13,87th Street Creative,https://www.87thstreetcreative.com/,United States,New York,Advertising & market research,Service with Minor Environmental Footprint,
2026-04-13,8ight Group Ltd,https://www.eightgroup.co.uk,United Kingdom,Nottinghamshire,Printing & recorded media,Manufacturing,
2026-04-13,8th & Walton,https://www.8thandwalton.com,United States,Arkansas,Advertising & market research,Service with Minor Environmental Footprint,
2026-04-13,900,https://900.care,France,Paris,Personal care products,Wholesale/Retail,
2026-04-13,9054-8553 Quebec Inc.,https://www.altitude-sports.com,,,Apparel,Wholesale/Retail,
2026-04-13,918 Coffee Co,https://www.918coffee.com,United Kingdom,Dorset,Food products,Manufacturing,
2026-04-13,970 Design,https://970design.com,United States,Colorado,Advertising & market research,Service with Minor Environmental Footprint,
2026-04-13,9b Corp,https://NeighborhoodExp.com,United States,Oklahoma,Accounting & auditing,Service with Minor Environmental Footprint,
2026-04-13,:Brio,https://brio.management/,Canada,Quebec,Management consultant - for-profits,Service with Minor Environmental Footprint,
2026-04-13,@BambuuBrush Ltd,https://bambuubrush.com,United Kingdom,Hertfordshire,Personal care products,Wholesale/Retail,
2026-04-13,A Beautiful Green,https://abeautifulgreen.com,Luxembourg,Canton of Luxembourg,Management consultant - for-profits,Service with Minor Environmental Footprint,
2026-04-13,A Beautiful Story B.V.,https://www.abeautifulstory.eu,,,Other/general wholesale trade,Wholesale/Retail,
2026-04-13,A Better Professional Corporation,https://www.inbetterwetrust.com,United States,California,Legal activities,Service with Minor Environmental Footprint,
2026-04-13,A Clean Spirit,https://www.acleanspirit.dk,Denmark,Region of Southern Denmark,Beverages,Wholesale/Retail,
2026-04-13,A E Rodda & Son Ltd,https://www.roddas.co.uk,United Kingdom,Cornwall,Food products,Manufacturing,
2026-04-13,A Lush Affair,https://www.alushaffair.com,Canada,Ontario,Event catering & related,Service with Significant Environmental Footprint,
2026-04-13,A Studio of Our Own,https://astudioofourown.com,United Kingdom,Surrey,Other info service activities,Service with Minor Environmental Footprint,
2026-04-13,"A to Z Wineworks, LLC",https://www.atozwineworks.com,United States,Oregon,Agicultural support/post-harvest,Agriculture/Growers,
2026-04-13,A&R Solar,https://www.a-rsolar.com,United States,Washington,Other renewable energy installation,Service with Significant Environmental Footprint,
2026-04-13,A&S Landscape Ltd,https://www.aandslandscape.co.uk/,United Kingdom,Shropshire,Other install & construction,Service with Significant Environmental Footprint,
2026-04-13,A-Side.,https://a-side.studio,United Kingdom,Cornwall,"Other professional, scientific & tech",Service with Minor Environmental Footprint,
2026-04-13,A2J Tech PBC,https://www.goa2jtech.com/,United States,Colorado,"Other professional, scientific & tech",Service with Minor Environmental Footprint,
2026-04-13,A6 LIFE,https://a6life.com.mx,Mexico,Mexico City,Advertising & market research,Service with Minor Environmental Footprint,
2026-04-13,"AAFCPAs, Inc.",https://aafcpa.com,United States,Massachusetts,Accounting & auditing,Service with Minor Environmental Footprint,
2026-04-13,aaff,https://www.aaff.nl,Netherlands The,Gelderland,Accounting & auditing,Service with Minor Environmental Footprint,
2026-04-13,Aakel Inc.,https://aakel.co.jp/,Japan,Fukuoka Prefecture,Computer programming services,Service with Significant Environmental Footprint,
2026-04-13,Aarstiderne A/S,https://www.aarstiderne.com,Denmark,Central Denmark Region,Food products,Wholesale/Retail,
2026-04-13,Aasted ApS,https://www.aasted.eu/,Denmark,Capital Region of Denmark,Machinery & equipment,Manufacturing,
2026-04-13,AB Brand & Marketing,https://www.ab-uk.com,United Kingdom,Devon,Advertising & market research,Service with Minor Environmental Footprint,
2026-04-13,AB Impact Coffee Inc.,https://andback.com,Canada,Ontario,Food products,Wholesale/Retail,
2026-04-13,AB5 Consulting,https://www.ab5consulting.com,United Kingdom,City of London,Management consultant - for-profits,Service with Minor Environmental Footprint,
2026-04-13,AB7 AMERICA,https://www.alzoo-vet.com,United States,Florida,Pharmaceutical products,Manufacturing,
2026-04-13,Abac Capital S.L.,https://www.abaccapital.com/en,Spain,Catalonia,Equity investing - Developed Markets,Service with Minor Environmental Footprint,
2026-04-13,"Abacus Wealth Partners, LLC",https://www.abacuswealth.com/,United States,California,Investment advising,Service with Minor Environmental Footprint,
2026-05-18,"Abadía Retuerta, S.A.",https://www.abadia-retuerta.com/,Spain,Castile and León,Growing non-perennial crops,Agriculture/Growers,
2026-04-13,ABAHIZI CBC.,https://www.abahizirwanda.com,Rwanda,Northern Province,Leather & related products,Manufacturing,
2026-04-13,Abandoned Grove,https://www.abandonedgrove.com,Canada,Ontario,Growing perennial crops,Agriculture/Growers,
2026-04-13,aBanza Empresas,https://www.abanzaempresas.com,Chile,Bío Bío Region,"Other professional, scientific & tech",Service with Minor Environmental Footprint,
2026-04-13,Abaris Financial Group LLC,https://www.abarisfinancialgroup.com,United States,Massachusetts,Investment advising,Service with Minor Environmental Footprint,
2026-04-13,ABC Impact,https://abcimpact.com.sg,Singapore,Central Singapore Community Development Council,Equity investing - Developed Markets,Service with Minor Environmental Footprint,
2026-04-13,abcom,https://www.abcomunicaciones.com,Argentina,Autonomous City Of Buenos Aires,Advertising & market research,Service with Minor Environmental Footprint,
2026-04-13,Abel & Cole,https://www.abelandcole.co.uk,United Kingdom,London Borough of Merton,Agicultural support/post-harvest,Agriculture/Growers,
2026-04-13,Abenex,,,,Equity investing - Developed Markets,Service with Minor Environmental Footprint,
2026-04-13,ABER Group Ltd,https://aberinstruments.com/,United Kingdom,Ceredigion,Electrical equipment,Manufacturing,
2026-04-13,Abhati Suisse AG,https://www.abhatisuisse.com,Switzerland,Appenzell Innerrhoden,Personal care products,Wholesale/Retail,
2026-04-13,Abinsa SpA,https://www.abinsa.cl,Chile,Santiago Metropolitan Region,Personal care products,Wholesale/Retail,
2026-04-13,ABISSAL Capitalismo Saudável,https://www.capitalismosaudavel.com.br,Brazil,Goiás,Other personal services,Service with Minor Environmental Footprint,
2026-04-13,ABITO (Acciones por el Bien de Todos),https://www.abito.com.uy,,,Transportation support,Service with Significant Environmental Footprint,
2026-04-13,Aboca S.p.A. Società Agricola,https://www.aboca.com,Italy,Tuscany,Agricultural Processing,Agriculture/Growers,
2026-04-13,Abode,https://www.abode.design,United Kingdom,Warwickshire,Other install & construction,Service with Minor Environmental Footprint,
2026-05-04,Above Creative Events (M) Sdn. Bhd.,https://www.abovecreativeevents.com/,Malaysia,Kuala Lumpur,Management consultant - for-profits,Service with Minor Environmental Footprint,
2026-04-13,Abovo Maxlead,https://www.abovomaxlead.nl,Netherlands The,North Holland,Advertising & market research,Service with Minor Environmental Footprint,
2026-04-13,Aboé Hub de Produção Executiva,,Brazil,São Paulo,Arts & entertainment,Service with Minor Environmental Footprint,2026-05-18
2026-05-18,Aboé Produção Executiva,,Brazil,São Paulo,Arts & entertainment,Service with Minor Environmental Footprint,
2026-04-13,Abrantes,https://www.abrantes.cl,Chile,Santiago Metropolitan Region,Growing non-perennial crops,Manufacturing,
2026-04-13,Abrazo Brand Experience,https://www.abrazo.ws/,Argentina,Autonomous City Of Buenos Aires,Advertising & market research,Service with Minor Environmental Footprint,
2026-04-13,Abreu Advogados,https://www.abreuadvogados.com,Portugal,Lisbon,Other personal services,Service with Minor Environmental Footprint,
2026-04-13,Absolute Collagen Group,https://www.absolutecollagen.com,United Kingdom,London Borough of Southwark,Personal care products,Wholesale/Retail,
2026-04-13,Absolute Pilates,https://absolutepilates.co,United States,Pennsylvania,Athletic & fitness centers,Service with Minor Environmental Footprint,
2026-04-13,Absolute PR and Marketing Ltd,https://www.absoluteprandmarketing.com,United Kingdom,Devon,Other info service activities,Service with Minor Environmental Footprint,
2026-04-13,Abstractive Health,https://www.abstractivehealth.com/,United States,New York,Software publishing and SaaS platforms,Service with Minor Environmental Footprint,
2026-04-13,Abstrakt,https://weareabstrakt.com,United Kingdom,Nottinghamshire,"Other professional, scientific & tech",Service with Minor Environmental Footprint,
2026-04-13,ABTOT Limited,https://www.abtot.com,United Kingdom,City of London,Membership organizations,Service with Minor Environmental Footprint,
2026-04-13,Abundance Investment,https://www.abundanceinvestment.com,,,Other financial services,Service with Minor Environmental Footprint,
2026-04-13,"Abundance Productions, Inc. DBA The Opt-In™",https://www.theopt-in.com,United States,Texas,Management consultant - for-profits,Service with Minor Environmental Footprint,
2026-04-13,ABV Development,https://www.abv-development.com,Belgium,Walloon Brabant,Environmental consulting,Service with Minor Environmental Footprint,
2026-04-13,"AC Power, LLC",https://acpowerllc.com,United States,New York,Solar panel installation,Service with Minor Environmental Footprint,
2026-04-13,Academica University of Applied Sciences,https://www.academica-group.com/,Netherlands The,North Holland,Higher education,Service with Minor Environmental Footprint,
2026-04-13,Academii Limited,https://www.academii.co.uk,United Kingdom,City and County of Cardiff,Other education,Service with Minor Environmental Footprint,
2026-04-13,Academy of Executive Coaching Ltd,https://aoec.com,United Kingdom,Hertfordshire,Education & training services,Service with Minor Environmental Footprint,
2026-04-13,ACBC,https://www.acbc.com,Italy,Metropolitan City of Milan,Apparel,Wholesale/Retail,
2026-04-13,Accelerate Team Ltd,https://accelerateteam.co.uk/,United Kingdom,Rutland,Other business support,Service with Minor Environmental Footprint,
2026-04-13,Accept & Proceed,https://www.acceptandproceed.com,United Kingdom,London Borough of Hackney,Other personal services,Service with Minor Environmental Footprint,
2026-04-13,AccertaClaim Servicorp Inc.,https://www.accerta.ca,Canada,Ontario,Health insurance,Service with Minor Environmental Footprint,
2026-04-13,Access All Services,https://www.accessallservices.com,Puerto Rico,Puerto Rico,Advertising & market research,Service with Minor Environmental Footprint,
2026-04-13,Access Design Studio,https://accessdesignstudio.com/,United States,California,"Other professional, scientific & tech",Service with Minor Environmental Footprint,
2026-04-13,Acclaim Autism,https://www.acclaimautism.com,United States,Pennsylvania,Other human health,Service with Minor Environmental Footprint,
2026-05-18,Accompagnement ETC,https://www.imfusio.com,France,Île-de-France,Management consultant - for-profits,Service with Minor Environmental Footprint,
2026-04-13,ACCORDIA,https://www.accordia.fr,France,Île-de-France,Management consultant - for-profits,Service with Minor Environmental Footprint,
2026-04-13,Accouter Group of Companies,https://www.agofc.com,United Kingdom,City of London,Other retail sale,Wholesale/Retail,
2026-04-13,Accès Personnel SA,https://www.acces-personnel.ch,Switzerland,Canton of Geneva,Employment placement & HR,Service with Minor Environmental Footprint,
2026-04-13,ACdO,https://www.acdo.es,Spain,Madrid,Furniture,Manufacturing,
2026-04-27,Ace & Tate Group B.V.,https://aceandtate.com,Netherlands The,North Holland,Other retail sale,Wholesale/Retail,
2026-04-13,Ace and Tate Holding B.V.,https://aceandtate.com,Netherlands The,North Holland,Other retail sale,Wholesale/Retail,2026-04-27
2026-04-13,Acesco Colombia,https://www.acesco.com.co,Colombia,Atlántico Department,Fabricated metal products,Manufacturing,
2026-04-13,Acetum S.p.A Società benefit,https://www.acetum.it,,,Food products,Manufacturing,
2026-04-13,ACHAB SRL SB,https://achabgroup.it,Italy,Piedmont,Social networks & info sharing,Service with Minor Environmental Footprint,
2026-04-13,Acheel,https://www.acheel.com,France,Île-de-France,Non-life insurance,Service with Minor Environmental Footprint,
2026-04-13,Achieve Goal 12,https://www.achievegoal12.co.uk/,United Kingdom,Manchester,Environmental consulting,Service with Minor Environmental Footprint,
2026-04-13,ACL,https://www.acl-audit.eu,France,Paris,Accounting & auditing,Service with Minor Environmental Footprint,
2026-04-13,Acne Studios AB,https://www.acnestudios.com,Sweden,Stockholm County,Apparel,Wholesale/Retail,
2026-04-13,ACOLYT GROUPE,https://www.acolyt.co,France,Burgundy,Transportation support,Service with Significant Environmental Footprint,
2026-04-13,Aconcagua Vision SRL,https://www.aconcaguavision.com,Argentina,Mendoza,Accommodation,Service with Significant Environmental Footprint,
2026-04-13,Acre,https://www.acre.com,United Kingdom,City of London,Employment placement & HR,Service with Minor Environmental Footprint,
2026-04-13,Acrylicize,https://www.acrylicize.com,United Kingdom,London Borough of Tower Hamlets,Spec design (non-building),Service with Minor Environmental Footprint,
2026-04-13,ACS Clothing Ltd.,https://www.acsclothing.co.uk,United Kingdom,Scotland,Rent/lease: other goods,Service with Significant Environmental Footprint,
2026-04-13,Actif Studio,https://www.actifstudio.net,Colombia,Cundinamarca Department,Advertising & market research,Service with Minor Environmental Footprint,
2026-04-13,ACTION PIN,https://www.action-pin.fr,France,Aquitaine,Chemicals & chemical products,Manufacturing,
2026-04-13,ActionFunder,https://actionfunder.org,United Kingdom,City of London,Management consultant - nonprofits,Service with Minor Environmental Footprint,
2026-04-13,Actionmail Limited,https://actionhq.co/,New Zealand,Auckland Region,Data processing & hosting,Service with Minor Environmental Footprint,
2026-04-13,Actitudlab,https://www.actitudlab.com,Chile,Santiago Metropolitan Region,Other education,Service with Minor Environmental Footprint,
2026-04-13,ACTIU,https://www.actiu.com/es/,Spain,Valencia,Furniture,Manufacturing,
2026-04-13,Activa Capital,https://activa.fr/,France,Île-de-France,Equity investing - Developed Markets,Service with Minor Environmental Footprint,
2026-04-13,Activation,https://weareactivation.com,United Kingdom,Somerset,Advertising & market research,Service with Minor Environmental Footprint,
2026-04-13,Active Apparel Group (AAG HoldCo Pty Ltd),https://www.activeapparelgroup.com/,Australia,Queensland,Apparel,Manufacturing,
2026-04-13,Active Impact Investments,https://www.activeimpactinvestments.com,Canada,British Columbia,Equity investing - Developed Markets,Service with Minor Environmental Footprint,
2026-04-13,Active Learning,https://www.activelearning.com.ar/,Argentina,Buenos Aires Province,Pre- & primary education,Service with Significant Environmental Footprint,
2026-04-13,Activist Technologies PBC,https://www.activist.tech/,United States,Maryland,,Service,2026-05-18
2026-04-13,ActiVote,https://www.activote.net,United States,Massachusetts,Mobile applications,Service with Minor Environmental Footprint,
2026-04-13,ActNow Consulting Limited,https://www.actnowconsulting.co.uk,United Kingdom,Northamptonshire,Management consultant - for-profits,Service with Minor Environmental Footprint,
2026-04-13,ACTUA FORMATION,https://www.actua-formation.fr,France,Rhône-Alpes,Other education,Service with Significant Environmental Footprint,
2026-04-13,Acumuladores Moura,https://www.moura.com.br/,Brazil,Pernambuco,Other manufacturing,Manufacturing,
2026-04-13,AD HOC COACHING,https://www.adhoc-coaching.com,France,Paris,Employment placement & HR,Service with Minor Environmental Footprint,
2026-04-13,Adam Smith International,https://www.adamsmithinternational.com,United Kingdom,London Borough of Southwark,Management consultant - for-profits,Service with Minor Environmental Footprint,
2026-04-13,Adapto Fungtastic,https://www.fungimelena.com,Argentina,Buenos Aires Province,General retail via Internet,Manufacturing,
2026-04-13,Adaptos Ltd t/a Sonder,https://www.sonder-mr.com,United Kingdom,Warwickshire,Advertising & market research,Service with Minor Environmental Footprint,
